loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_start_date,loan_status
898,2401,Home Loan,3228184,8.1,2020-08-15,Active
899,4365,Personal Loan,2569594,8.69,2019-05-22,Active
900,260,Car Loan,1899606,6.69,2021-02-09,Active
901,2589,Car Loan,1043625,14.8,2018-05-13,Active
902,3891,Car Loan,2766369,15.39,2019-02-28,Active
903,991,Car Loan,731607,8.98,2023-03-14,Active
904,2777,Personal Loan,2273216,7.54,2022-02-08,Active
905,4242,Home Loan,489823,13.47,2018-06-04,Active
906,2968,Education Loan,2911788,8.27,2018-10-26,Active
907,3792,Education Loan,1505972,8.27,2022-01-09,Active
908,5933,Car Loan,610325,7.52,2018-10-30,Closed
909,1872,Education Loan,1210110,9.08,2019-05-06,Active
910,442,Car Loan,4792206,8.55,2019-12-21,Active
911,2008,Personal Loan,4813784,8.61,2019-03-05,Active
912,2764,Personal Loan,1953333,9.87,2018-01-28,Active
913,401,Car Loan,4394195,13.41,2019-07-30,Active
914,4263,Personal Loan,2958299,10.52,2021-02-08,Closed
915,446,Home Loan,2866214,11.82,2023-01-08,Closed
916,2661,Home Loan,3100346,6.68,2020-01-08,Default
917,552,Home Loan,1695847,11.12,2018-04-06,Closed
918,312,Home Loan,1862916,13.48,2022-07-04,Active
919,4598,Education Loan,2265566,10.4,2021-10-19,Active
920,1139,Personal Loan,3889737,13.85,2021-11-29,Active
921,3231,Personal Loan,2327552,11.03,2018-05-18,Active
922,3733,Education Loan,3324800,12.53,2020-02-21,Default
923,5960,Home Loan,1281610,11.88,2023-05-26,Active
924,2625,Personal Loan,3355023,7.82,2021-11-05,Closed
925,2462,Education Loan,4475504,8.9,2019-03-01,Active
926,5606,Education Loan,4167293,11.38,2019-11-01,Active
927,5466,Home Loan,308208,12.76,2020-06-07,Active
928,4410,Car Loan,3572974,11.26,2022-04-07,Active
929,527,Home Loan,1618518,9.1,2022-08-31,Active
930,2289,Home Loan,2153085,10.39,2021-12-08,Active
931,3426,Education Loan,2144713,10.16,2023-01-21,Active
932,1048,Car Loan,4487882,14.07,2022-07-30,Active
933,5578,Car Loan,892175,9.7,2018-08-31,Active
934,1012,Personal Loan,1004587,15.06,2020-09-30,Active
935,1988,Personal Loan,4050835,14.85,2018-08-07,Default
936,5243,Education Loan,3430789,9.34,2020-03-12,Default
937,4099,Home Loan,613195,14.62,2018-01-22,Closed
938,108,Home Loan,2130582,11.96,2020-03-31,Closed
939,4821,Education Loan,4333977,7.9,2022-10-16,Closed
940,4980,Personal Loan,2063273,8.83,2022-11-03,Default
941,2902,Car Loan,4110951,11.53,2018-10-11,Closed
942,2175,Education Loan,1612787,13.15,2022-11-28,Active
943,4946,Home Loan,4215278,6.52,2020-10-11,Active
944,3579,Car Loan,379250,9.9,2023-05-25,Active
945,4262,Personal Loan,2566508,13.37,2020-08-19,Active
946,1877,Car Loan,2180390,6.98,2020-03-18,Active
947,75,Education Loan,289978,8.16,2022-04-02,Active
948,5257,Home Loan,2908250,15.44,2021-04-15,Active
949,1457,Education Loan,991335,6.92,2023-06-09,Active
950,4182,Car Loan,2372039,12.7,2020-01-04,Active
951,330,Home Loan,4450012,7.85,2023-05-22,Active
952,1341,Car Loan,1256069,10.74,2019-10-15,Default
953,5257,Home Loan,3133693,12.47,2018-02-26,Active
954,3210,Home Loan,3139518,11.63,2021-06-26,Active
955,901,Car Loan,3597353,9.58,2018-07-29,Active
956,3665,Car Loan,894985,6.83,2020-08-07,Closed
957,823,Personal Loan,3024836,11.33,2021-07-04,Active
958,5162,Car Loan,1090885,12.22,2021-06-12,Active
959,4825,Car Loan,2299731,13.96,2018-05-06,Active
960,1571,Car Loan,1416400,10.85,2019-09-08,Active
961,2147,Personal Loan,2229510,14.77,2022-04-26,Active
962,3522,Home Loan,4330689,10.11,2019-12-11,Closed
963,2556,Home Loan,2015752,7.58,2018-10-23,Default
964,501,Car Loan,1709604,10.42,2022-07-02,Active
965,2851,Home Loan,2014907,11.29,2019-07-02,Default
966,4173,Personal Loan,1703465,11.96,2021-02-20,Active
967,5965,Education Loan,726985,8.82,2019-04-29,Active
968,200,Personal Loan,3215537,7.29,2022-09-21,Active
969,3790,Car Loan,1720068,13.77,2020-02-23,Active
970,2758,Education Loan,3312566,7.91,2022-08-05,Active
971,5204,Home Loan,1583077,6.92,2022-09-03,Active
972,3219,Home Loan,4132059,13.89,2021-05-27,Closed
973,5151,Education Loan,1609825,9.88,2019-10-26,Active
974,4197,Car Loan,1330539,8.61,2019-08-19,Default
975,5936,Car Loan,798446,14.46,2020-08-02,Active
976,5828,Car Loan,4292895,15.48,2019-02-02,Default
977,3453,Education Loan,1970819,15.09,2019-12-09,Active
978,3751,Personal Loan,2187449,9.97,2020-11-05,Active
979,2366,Personal Loan,4371686,11.88,2023-01-29,Active
980,1061,Home Loan,738170,10.96,2018-07-03,Closed
981,1147,Personal Loan,1659370,6.77,2020-01-31,Active
982,260,Education Loan,4084967,6.95,2019-10-08,Active
983,1296,Education Loan,2817455,6.56,2021-03-08,Active
984,5838,Education Loan,461446,14.81,2019-01-10,Default
985,2231,Home Loan,765164,7.92,2020-02-18,Active
986,5333,Home Loan,3099381,11.56,2022-12-30,Active
987,1565,Education Loan,4137881,9.99,2018-12-20,Closed
988,4717,Personal Loan,831271,10.12,2019-03-14,Active
989,2579,Car Loan,721767,11.27,2018-02-13,Active
990,3446,Car Loan,1618017,10.07,2021-01-04,Active
991,1111,Car Loan,1047207,13.5,2018-09-11,Active
992,1704,Car Loan,411038,13.27,2021-12-21,Closed
993,4626,Education Loan,2875665,14.2,2018-03-04,Closed
994,3224,Car Loan,2065462,9.23,2019-12-15,Active
995,2109,Car Loan,2322178,8.91,2019-03-21,Closed
996,107,Personal Loan,1770143,14.08,2019-01-04,Active
997,3406,Education Loan,2285715,8.81,2021-12-02,Active
998,753,Home Loan,279248,11.74,2021-08-31,Active
999,1989,Personal Loan,2973592,12.97,2018-02-07,Active
1000,4202,Car Loan,1553632,15.37,2020-11-12,Active
1001,2933,Home Loan,725923,13.87,2018-06-23,Active
1002,1468,Car Loan,2232336,8.52,2020-01-10,Active
1003,2989,Home Loan,1537954,6.59,2020-02-17,Active
1004,60,Car Loan,135566,8.3,2021-06-12,Default
1005,4682,Personal Loan,1684045,9.69,2021-12-25,Closed
1006,670,Personal Loan,3257846,8.91,2022-08-31,Active
1007,4954,Personal Loan,1451442,11.91,2020-06-25,Active
1008,2588,Education Loan,701157,9.54,2019-07-17,Active
1009,1618,Home Loan,264135,7.91,2022-07-20,Active
1010,2066,Car Loan,1111951,14.73,2021-10-17,Closed
1011,4822,Education Loan,4884646,7.16,2020-07-13,Active
1012,3422,Car Loan,3855051,12.66,2020-05-10,Closed
1013,200,Education Loan,2721592,11.17,2018-02-17,Active
1014,3579,Home Loan,2884250,8.58,2020-12-08,Default
1015,4095,Home Loan,161871,7.72,2019-05-04,Active
1016,1013,Personal Loan,334084,9.75,2022-07-13,Closed
1017,1218,Home Loan,3365570,7.15,2022-11-25,Closed
1018,1503,Personal Loan,2842400,15.1,2018-11-10,Active
1019,3909,Education Loan,3267926,13.42,2018-04-12,Active
1020,364,Home Loan,2251360,10.12,2022-10-22,Default
1021,507,Personal Loan,2089457,11.27,2020-05-13,Active
1022,2843,Car Loan,2039720,9.37,2018-04-24,Active
1023,3367,Personal Loan,2887174,13.53,2019-10-25,Active
1024,3408,Personal Loan,405698,10.99,2019-11-01,Default
1025,2389,Education Loan,1931424,13.23,2022-11-06,Active
1026,3370,Personal Loan,463211,7.64,2019-01-20,Default
1027,3856,Personal Loan,3086909,13.77,2018-07-17,Default
1028,27,Car Loan,4899667,10.68,2022-07-27,Active
1029,5027,Education Loan,3178483,14.99,2019-01-06,Active
1030,4522,Personal Loan,3157771,14.26,2023-02-28,Active
1031,5892,Car Loan,1717944,10.87,2022-02-17,Active
1032,4840,Education Loan,3012631,6.61,2021-09-01,Active
1033,3103,Education Loan,836938,9.04,2021-11-30,Active
1034,2891,Home Loan,1190729,14.44,2021-03-02,Active
1035,3756,Education Loan,1252035,6.67,2021-01-05,Closed
1036,5879,Personal Loan,1395663,12.34,2019-02-13,Closed
1037,969,Home Loan,1349609,14.13,2020-11-12,Active
1038,845,Car Loan,355584,12.22,2021-04-22,Default
1039,3602,Home Loan,3435714,8.3,2021-12-02,Active
1040,2904,Home Loan,1322031,10.59,2019-03-09,Default
1041,3233,Education Loan,2208208,9.65,2019-09-10,Active
1042,4399,Personal Loan,4940209,15.48,2021-01-18,Active
1043,4352,Home Loan,1509723,8.49,2023-03-16,Active
1044,3203,Personal Loan,4679570,10.32,2022-04-22,Active
1045,2362,Car Loan,4634339,11.15,2020-03-05,Default
1046,2436,Personal Loan,1330185,15.14,2020-10-13,Active
1047,2202,Personal Loan,738604,11.71,2020-07-14,Active
1048,3707,Education Loan,3905756,12.76,2020-02-09,Active
1049,4227,Personal Loan,1236276,12.61,2020-10-03,Active
1050,2218,Education Loan,2684340,15.09,2021-06-20,Active
1051,1887,Personal Loan,4522695,6.52,2023-03-15,Default
1052,3095,Home Loan,4162410,10.15,2018-08-30,Active
1053,5792,Car Loan,3655360,9.01,2019-07-08,Closed
1054,553,Education Loan,951209,10.72,2018-10-23,Active
1055,2897,Personal Loan,2329946,9.98,2020-11-19,Active
1056,1932,Education Loan,3809109,15.36,2021-10-31,Active
1057,5384,Home Loan,4755056,9.24,2022-10-11,Active
1058,2864,Car Loan,1994199,8.97,2020-10-12,Active
1059,4413,Education Loan,2969641,7.78,2022-12-20,Active
1060,4361,Personal Loan,2842165,9.28,2020-08-17,Closed
1061,2007,Car Loan,4385979,8.4,2018-07-06,Closed
1062,4449,Car Loan,733601,13.95,2018-08-15,Active
1063,2639,Personal Loan,1847166,14.94,2019-10-17,Active
1064,4122,Education Loan,2324840,14.17,2019-10-20,Active
1065,4764,Education Loan,1109104,12.43,2019-12-28,Active
1066,2673,Car Loan,3937754,10.77,2018-05-02,Active
1067,4866,Education Loan,4001598,7.42,2018-07-10,Active
1068,5101,Education Loan,209613,12.84,2021-02-03,Default
1069,3034,Education Loan,773456,13.46,2020-04-14,Active
1070,2214,Education Loan,4691546,13.85,2018-02-04,Closed
1071,4310,Car Loan,1283523,10.44,2018-03-22,Active
1072,2068,Car Loan,4498818,8.05,2023-05-23,Closed
1073,5021,Home Loan,1301688,13.19,2019-03-03,Active
1074,601,Home Loan,3585614,15.11,2022-09-16,Active
1075,564,Car Loan,3898632,8.51,2018-07-24,Closed
1076,460,Personal Loan,4205425,9.11,2022-06-11,Active
1077,3636,Home Loan,3130466,6.64,2020-02-24,Active
1078,952,Car Loan,815459,7.63,2018-03-31,Active
1079,1862,Car Loan,503951,8.82,2021-10-20,Closed
1080,5513,Personal Loan,4481765,8.07,2021-07-14,Active
1081,2393,Home Loan,4438201,7.64,2023-01-16,Closed
1082,1875,Home Loan,4201114,11.33,2018-01-05,Closed
1083,4713,Education Loan,3667185,8.02,2023-04-20,Default
1084,3601,Car Loan,2985254,13.92,2022-11-26,Active
1085,697,Car Loan,1667690,15.02,2022-03-31,Active
1086,1237,Education Loan,2000341,10.98,2022-07-19,Default
1087,3720,Personal Loan,1745281,12.86,2021-03-28,Active
1088,5143,Education Loan,4579858,15.39,2023-03-30,Closed
1089,4167,Car Loan,4626133,14.64,2021-12-25,Default
1090,2106,Home Loan,1383625,11.29,2022-12-07,Closed
1091,5134,Home Loan,587745,13.85,2020-04-29,Default
1092,3783,Education Loan,4635980,13.57,2019-04-10,Active
1093,1905,Personal Loan,2819995,13.77,2018-06-26,Active
1094,5219,Car Loan,1698494,8.54,2020-05-06,Active
1095,417,Personal Loan,4715963,14.72,2018-09-02,Closed
1096,5248,Education Loan,3317026,13.45,2018-01-02,Default
1097,1858,Personal Loan,1924302,9.68,2020-05-25,Active
1098,3527,Home Loan,2586863,7.97,2023-06-05,Closed
1099,5940,Home Loan,3986220,11.81,2022-12-07,Active
1100,1495,Car Loan,372472,7.16,2022-02-22,Closed
1101,2295,Personal Loan,4622541,7.81,2021-08-24,Active
1102,424,Car Loan,3220616,10.49,2019-11-20,Active
1103,4864,Education Loan,4829115,14.45,2018-01-02,Closed
1104,3714,Car Loan,4169093,12.93,2019-08-31,Active
1105,4042,Personal Loan,4346623,13.81,2019-11-17,Active
1106,2730,Home Loan,4772491,11.5,2021-12-04,Active
1107,5962,Car Loan,2158338,8.69,2020-11-10,Active
1108,4855,Car Loan,2921092,13.25,2019-08-15,Active
1109,2928,Home Loan,1237860,14.29,2023-03-26,Closed
1110,4175,Home Loan,3517043,11.86,2019-03-14,Default
1111,3976,Car Loan,3847495,14.95,2021-10-23,Closed
1112,370,Education Loan,3766409,12.13,2022-11-08,Active
1113,4021,Education Loan,2742763,15.16,2018-01-13,Active
1114,3400,Car Loan,4100479,9.8,2019-07-11,Active
1115,1786,Education Loan,4312471,12.21,2023-05-12,Active
1116,2025,Education Loan,593989,6.84,2021-08-26,Closed
1117,5081,Education Loan,1586132,7.68,2021-10-07,Active
1118,5140,Home Loan,4204418,8.57,2021-04-06,Default
1119,2335,Home Loan,1795929,9.42,2019-12-02,Active
1120,497,Home Loan,4751515,10.94,2021-02-03,Closed
1121,4063,Car Loan,2197693,6.58,2019-01-23,Default
1122,5755,Car Loan,4067640,8.93,2018-03-09,Active
1123,1545,Personal Loan,3456535,8.94,2019-02-23,Active
1124,4849,Home Loan,2835697,10.73,2019-07-29,Active
1125,3960,Education Loan,4532635,8.74,2020-06-12,Active
1126,2300,Home Loan,3780606,7.21,2019-09-13,Active
1127,867,Personal Loan,4908732,12.11,2021-12-16,Active
1128,1436,Home Loan,134210,9.57,2022-03-11,Active
1129,3153,Home Loan,1090898,15.29,2018-10-06,Default
1130,1288,Personal Loan,802595,10.42,2021-07-06,Active
1131,3098,Education Loan,2801197,10.42,2021-10-12,Active
1132,5634,Car Loan,4872218,12.4,2018-05-10,Active
1133,3128,Home Loan,2347068,7.59,2022-01-17,Active
1134,674,Car Loan,482102,14.83,2021-06-28,Active
1135,5284,Education Loan,703058,9.12,2022-09-15,Active
1136,615,Home Loan,313421,8.53,2022-01-27,Default
1137,4082,Home Loan,1353723,13.71,2018-12-20,Active
1138,1981,Car Loan,3390954,9.63,2018-11-24,Active
1139,1870,Personal Loan,3286724,13.66,2019-10-21,Active
1140,3780,Home Loan,1292156,13.74,2020-08-03,Active
1141,4479,Education Loan,4360672,6.63,2020-06-10,Active
1142,5671,Education Loan,916778,10.08,2019-01-20,Active
1143,627,Car Loan,1689448,7.4,2020-05-12,Active
1144,5623,Personal Loan,2953603,13.96,2019-12-07,Active
1145,4400,Education Loan,2352337,11.82,2022-02-25,Active
1146,5601,Home Loan,2730343,9.5,2020-07-06,Closed
1147,5971,Personal Loan,1371607,8.5,2021-12-10,Closed
1148,4713,Education Loan,384245,11.48,2020-09-16,Active
1149,823,Personal Loan,4581807,15.24,2022-02-24,Active
1150,3680,Home Loan,2238021,10.69,2020-12-06,Active
1151,1751,Education Loan,4895266,8.7,2020-11-25,Closed
1152,2555,Car Loan,4778476,10.58,2023-04-25,Active
1153,2819,Personal Loan,3621516,10.99,2021-04-26,Active
1154,3974,Education Loan,3534690,12.59,2020-08-26,Active
1155,3467,Personal Loan,549990,15.09,2018-02-09,Active
1156,786,Car Loan,3820105,10.14,2019-12-26,Closed
1157,3924,Car Loan,4281174,7.13,2021-10-09,Closed
1158,4466,Personal Loan,4001157,8.76,2019-05-02,Active
1159,336,Home Loan,4771374,10.52,2020-08-17,Closed
1160,962,Car Loan,697048,10.5,2018-07-05,Closed
1161,4440,Personal Loan,2197748,12.04,2021-01-19,Active
1162,4907,Car Loan,1069234,7.35,2019-10-07,Active
1163,4255,Education Loan,1417097,15.24,2020-07-25,Default
1164,1980,Car Loan,663716,13.45,2018-07-11,Active
1165,1723,Education Loan,4992550,10.49,2018-04-11,Closed
1166,5563,Home Loan,2390698,8.98,2018-01-21,Active
1167,2429,Personal Loan,2714198,6.62,2023-05-13,Active
1168,2724,Car Loan,2259974,8.05,2020-09-19,Active
1169,2624,Car Loan,2714945,10.39,2023-06-19,Active
1170,1524,Home Loan,4336037,14.46,2021-04-25,Active
1171,5521,Education Loan,463450,7.4,2022-10-06,Active
1172,4370,Car Loan,3160066,12.05,2020-04-06,Active
1173,1301,Personal Loan,4645226,12.08,2018-07-10,Active
1174,805,Personal Loan,4935787,9.49,2019-10-25,Active
1175,1538,Education Loan,805244,10.33,2018-07-02,Closed
1176,5440,Education Loan,2353390,7.7,2018-03-10,Active
1177,2717,Education Loan,2129518,7.0,2020-03-05,Closed
1178,1512,Personal Loan,1929280,11.15,2019-10-31,Active
1179,3770,Home Loan,4530813,9.43,2022-05-03,Active
1180,176,Personal Loan,553072,11.51,2019-10-27,Active
1181,4541,Personal Loan,4789469,14.48,2018-12-17,Active
1182,2902,Education Loan,4034126,12.3,2018-06-23,Closed
1183,179,Personal Loan,4727571,9.21,2018-08-14,Closed
1184,978,Home Loan,2507403,14.28,2018-10-28,Active
1185,1792,Car Loan,4056991,14.3,2022-12-01,Closed
1186,4270,Car Loan,1430156,14.44,2023-01-08,Default
1187,4255,Car Loan,2531246,12.53,2019-08-31,Closed
1188,112,Personal Loan,3187687,10.45,2020-06-08,Active
1189,730,Car Loan,3709771,13.36,2019-02-13,Active
1190,4946,Personal Loan,520479,12.28,2022-01-02,Default
1191,5318,Car Loan,3688068,11.46,2020-08-02,Closed
1192,692,Education Loan,3017310,8.49,2019-11-27,Default
1193,2884,Personal Loan,3084270,11.87,2021-08-03,Active
1194,427,Home Loan,1232554,10.03,2018-11-09,Active
1195,1565,Home Loan,3741744,15.22,2021-11-18,Active
1196,3605,Car Loan,259757,11.74,2018-07-22,Active
1197,5532,Home Loan,3307494,15.02,2018-03-09,Active
1198,456,Home Loan,2164324,13.29,2020-06-15,Active
1199,674,Education Loan,1343096,7.67,2020-01-20,Closed
1200,1892,Car Loan,432986,7.29,2018-11-22,Active
1201,2353,Personal Loan,901299,8.41,2021-02-23,Closed
1202,916,Car Loan,621658,14.33,2022-09-19,Active
1203,5198,Education Loan,309498,14.69,2021-03-31,Active
1204,5840,Home Loan,135165,13.1,2021-05-25,Closed
1205,5380,Home Loan,4277206,10.76,2018-05-04,Default
1206,3948,Car Loan,3734885,8.05,2018-06-28,Active
1207,818,Home Loan,111497,14.67,2018-10-25,Closed
1208,2993,Personal Loan,1106376,11.53,2022-04-07,Default
1209,716,Car Loan,1659086,8.36,2019-02-12,Closed
1210,1662,Home Loan,847531,14.24,2020-03-26,Active
1211,4119,Car Loan,2483225,14.52,2019-03-11,Active
1212,1064,Car Loan,3119052,12.49,2019-01-11,Active
1213,3489,Car Loan,4743345,11.56,2022-02-18,Active
1214,3745,Personal Loan,1009257,14.73,2020-11-06,Active
1215,5807,Car Loan,2766997,8.94,2018-05-19,Active
1216,437,Personal Loan,3296067,9.65,2019-11-27,Active
1217,3142,Personal Loan,1536781,13.96,2022-07-10,Active
1218,5442,Personal Loan,4390953,9.11,2021-05-07,Active
1219,791,Education Loan,960965,8.16,2019-10-04,Active
1220,4106,Education Loan,4687678,11.64,2022-07-30,Active
1221,940,Education Loan,1719951,15.16,2023-05-16,Active
1222,1222,Home Loan,710774,11.73,2021-05-24,Active
1223,2369,Personal Loan,2033648,9.82,2018-02-11,Active
1224,3761,Car Loan,2439994,14.98,2023-02-10,Active
1225,2737,Personal Loan,1827315,15.31,2019-06-06,Closed
1226,2246,Home Loan,1132518,13.5,2019-10-25,Active
1227,3850,Personal Loan,107938,12.42,2023-05-18,Active
1228,1930,Home Loan,1451623,14.29,2023-04-14,Active
1229,3544,Education Loan,4510065,9.57,2022-06-09,Active
1230,34,Personal Loan,4755811,9.31,2018-09-20,Active
1231,5252,Home Loan,3065027,14.58,2021-02-09,Active
1232,2044,Home Loan,729311,6.85,2021-05-24,Default
1233,2974,Car Loan,151057,13.19,2018-02-23,Closed
1234,5361,Personal Loan,100639,10.34,2022-06-29,Default
1235,3958,Car Loan,1850601,10.41,2019-08-08,Closed
1236,1295,Education Loan,269872,9.42,2021-07-31,Active
1237,4871,Home Loan,1495988,12.04,2023-04-09,Active
1238,125,Personal Loan,640840,10.61,2020-05-01,Default
1239,3034,Home Loan,2479994,11.6,2019-09-14,Active
1240,5724,Car Loan,1348412,6.54,2023-02-01,Default
1241,3983,Education Loan,4154031,12.14,2022-03-25,Active
1242,4573,Personal Loan,2170125,8.75,2020-03-02,Active
1243,2495,Car Loan,4288117,9.04,2020-12-03,Active
1244,2487,Personal Loan,3196551,8.63,2022-04-15,Active
1245,1729,Home Loan,1225006,8.71,2020-08-03,Active
1246,1524,Personal Loan,2976125,13.22,2018-04-28,Default
1247,1698,Home Loan,1228078,8.59,2020-10-06,Closed
1248,440,Car Loan,828856,13.06,2021-03-19,Active
1249,3732,Education Loan,2446147,9.02,2018-06-09,Default
1250,85,Car Loan,3368317,9.86,2021-04-01,Active
1251,3400,Home Loan,620815,9.74,2018-02-07,Active
1252,3118,Personal Loan,2918206,13.15,2020-03-15,Active
1253,100,Education Loan,3445888,13.39,2022-03-04,Default
1254,2192,Home Loan,1685090,7.61,2021-05-14,Active
1255,816,Personal Loan,1442963,7.3,2022-06-03,Active
1256,596,Car Loan,457493,14.22,2020-08-13,Active
1257,3782,Car Loan,3347268,13.78,2020-01-11,Active
1258,5577,Home Loan,2493057,15.31,2021-09-02,Active
1259,788,Car Loan,1335048,8.34,2022-01-17,Closed
1260,4751,Home Loan,3224011,13.02,2019-11-05,Closed
1261,1554,Personal Loan,850680,10.73,2021-11-15,Active
1262,5187,Education Loan,3906838,12.91,2020-09-27,Active
1263,2986,Personal Loan,4177970,7.66,2023-01-31,Active
1264,899,Education Loan,4958949,8.07,2020-07-25,Active
1265,2535,Home Loan,657774,12.23,2021-05-12,Active
1266,3429,Home Loan,271197,9.77,2020-05-15,Closed
1267,577,Personal Loan,1890366,7.94,2020-07-05,Default
1268,5230,Car Loan,695252,14.51,2019-11-03,Closed
1269,4177,Personal Loan,2376006,14.59,2020-12-22,Active
1270,1913,Home Loan,4956053,12.24,2021-02-01,Active
1271,2364,Home Loan,3938131,13.91,2020-09-28,Closed
1272,5194,Car Loan,1585454,10.48,2023-04-22,Active
1273,5427,Home Loan,1256839,12.4,2022-03-04,Closed
1274,5820,Home Loan,3241768,8.56,2020-04-26,Active
1275,2677,Education Loan,1443384,9.97,2022-08-24,Active
1276,1794,Car Loan,4649672,9.59,2022-07-11,Active
1277,5894,Home Loan,2223076,9.78,2022-01-01,Active
1278,47,Car Loan,1413347,9.36,2023-02-22,Closed
1279,1578,Education Loan,3119429,8.98,2020-09-16,Active
1280,3158,Personal Loan,3452377,10.2,2019-04-21,Active
1281,1574,Home Loan,538070,6.77,2019-01-10,Active
1282,1115,Education Loan,2892923,10.0,2021-11-03,Active
1283,1364,Personal Loan,4634600,7.39,2023-02-06,Closed
1284,1766,Home Loan,4939171,13.99,2020-08-07,Closed
1285,3628,Education Loan,4027006,14.91,2020-12-13,Active
1286,1747,Car Loan,2859366,9.42,2020-01-31,Closed
1287,5851,Personal Loan,3659984,15.41,2019-06-20,Closed
1288,1739,Personal Loan,812640,8.41,2019-10-18,Active
1289,2433,Car Loan,174918,14.95,2018-04-20,Active
1290,2831,Personal Loan,1594725,8.67,2020-07-22,Closed
1291,4636,Education Loan,2529429,15.11,2022-09-10,Active
1292,3794,Personal Loan,2659386,14.29,2020-01-24,Active
1293,358,Education Loan,2362580,11.54,2020-11-13,Active
1294,3566,Education Loan,330487,14.66,2019-05-21,Active
1295,4951,Car Loan,2814345,15.02,2022-01-12,Closed
1296,2036,Home Loan,798719,9.49,2018-01-26,Active
1297,456,Car Loan,3056066,9.25,2019-09-14,Active
1298,5323,Education Loan,4849070,14.47,2018-07-14,Active
1299,2549,Car Loan,2822656,11.42,2019-10-28,Closed
1300,5302,Home Loan,2015186,8.85,2023-03-23,Active
1301,2452,Personal Loan,3387736,6.76,2022-05-17,Active
1302,5737,Personal Loan,2234077,11.03,2023-06-14,Active
1303,1047,Education Loan,4544457,13.16,2018-01-08,Active
1304,4106,Car Loan,2369310,8.54,2018-02-15,Active
1305,5154,Education Loan,3696149,12.29,2018-07-03,Default
1306,3266,Home Loan,1697023,11.07,2018-08-13,Active
1307,2345,Education Loan,4132005,12.71,2023-03-03,Active
1308,2031,Car Loan,1102455,11.72,2018-08-04,Default
1309,4383,Education Loan,2678503,13.17,2018-09-19,Active
1310,5888,Home Loan,4985904,15.33,2019-02-13,Active
1311,1738,Personal Loan,1013235,9.26,2018-06-11,Closed
1312,5457,Home Loan,4496646,15.41,2021-08-19,Closed
1313,4585,Car Loan,1629290,12.85,2021-07-15,Active
1314,3630,Personal Loan,2093715,13.69,2022-11-24,Active
1315,1593,Car Loan,1215196,7.28,2019-03-14,Active
1316,4518,Education Loan,4342902,9.92,2018-11-15,Active
1317,3316,Home Loan,3436738,10.12,2021-05-31,Closed
1318,3214,Personal Loan,1518833,14.54,2021-11-15,Active
1319,3819,Home Loan,3022971,6.55,2022-02-07,Active
1320,3816,Home Loan,2592769,13.76,2021-09-06,Active
1321,2486,Education Loan,2489371,8.18,2020-11-30,Active
1322,1093,Home Loan,3279574,8.26,2019-01-12,Active
1323,4858,Personal Loan,4811843,12.7,2022-06-01,Active
1324,3847,Personal Loan,753939,12.64,2020-07-02,Active
1325,4049,Personal Loan,3681070,8.4,2023-03-14,Closed
1326,3878,Education Loan,992735,7.26,2019-08-24,Closed
1327,5420,Education Loan,4555075,15.33,2021-03-21,Closed
1328,2588,Education Loan,4388766,9.37,2021-03-26,Active
1329,2221,Education Loan,3046887,14.87,2018-03-12,Closed
1330,5667,Home Loan,2417984,7.4,2018-03-01,Active
1331,2841,Home Loan,4228837,12.5,2022-06-04,Active
1332,1468,Education Loan,2673370,11.45,2018-06-08,Closed
1333,3593,Home Loan,1511300,10.9,2019-09-14,Closed
1334,2611,Car Loan,1496000,9.81,2021-01-16,Active
1335,3845,Education Loan,3667966,13.7,2020-08-07,Active
1336,3972,Car Loan,2905831,6.61,2020-11-02,Active
1337,2862,Home Loan,2615926,10.42,2022-10-18,Active
1338,1407,Education Loan,4005088,10.75,2020-05-15,Active
1339,4749,Education Loan,3911875,12.96,2019-04-01,Active
1340,5160,Education Loan,3507623,15.36,2022-02-26,Active
1341,4451,Car Loan,1770281,7.6,2021-08-20,Active
1342,625,Car Loan,707733,6.66,2023-02-13,Default
1343,2558,Education Loan,4830545,15.16,2020-03-22,Active
1344,2475,Home Loan,4223617,10.06,2021-12-14,Active
1345,5447,Home Loan,334758,8.02,2021-10-29,Active
1346,996,Home Loan,3340658,10.83,2020-04-11,Active
1347,1267,Personal Loan,2151857,11.57,2019-03-15,Active
1348,3650,Personal Loan,1196709,14.77,2023-03-27,Closed
1349,232,Car Loan,4221675,6.73,2023-05-13,Closed
1350,1961,Education Loan,3993857,13.82,2020-04-28,Active
1351,1643,Personal Loan,3438339,7.36,2021-08-04,Active
1352,763,Home Loan,150345,10.75,2020-12-03,Closed
1353,3591,Education Loan,431802,9.7,2021-10-01,Closed
1354,3166,Education Loan,356566,14.72,2022-10-31,Active
1355,3424,Car Loan,1702380,6.82,2019-03-25,Active
1356,2790,Car Loan,493965,13.41,2020-09-02,Active
1357,5194,Car Loan,1932044,7.27,2019-11-25,Active
1358,9,Education Loan,2400903,12.46,2019-11-07,Closed
1359,3258,Car Loan,1456204,7.99,2019-08-30,Active
1360,2317,Home Loan,4439675,8.57,2020-07-24,Active
1361,3672,Car Loan,2526076,15.11,2020-12-30,Active
1362,3435,Home Loan,817890,10.01,2023-03-13,Active
1363,1425,Personal Loan,3305504,11.89,2019-12-23,Default
1364,2648,Personal Loan,107466,14.5,2020-12-27,Active
